Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
huami,Smartwatch,Amazfit GTR 42 mm Glitter,White ,9999,16999,AMOLED Display,4.2,Silicone,12,3
huami,Smartwatch,Amazfit Neo,Black,2499,3999,AMOLED Display,4.2,Thermoplastic polyurethane,7,176
huami,Smartwatch,Amazfit Bip S,Black,5299,6499,AMOLED Display,4,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit GTR 42,Black,8999,12999,AMOLED Display,4.3,Silicone,14,
huami,Smartwatch,Amazfit Stratos 3,Black,13999,17999,AMOLED Display,3.7,Silicone,14,
huami,Smartwatch,Amazfit GTR 42,Red,9999,12999,AMOLED Display,4.3,Silicone,12,146
huami,Smartwatch,Amazfit Pace,Black,9999,10999,AMOLED Display,4.2,Silicone,14,
huami,Smartwatch,Amazfit Bip S,Red,2999,4999,AMOLED Display,3.9,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit Bip S,"Green, Grey",3799,4999,AMOLED Display,3.9,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit Bip,Pink,5499,5990,AMOLED Display,4.2,Silicone,28,489
huami,Smartwatch,Amazfit Bip S,White ,4999,5999,AMOLED Display,4,Thermoplastic polyurethane,15,489
huami,Smartwatch,Amazfit GTR 47,Black,10999,18999,AMOLED Display,4.2,Silicone,25,
huami,Smartwatch,Amazfit GTR 47,Black,8999,13999,AMOLED Display,4.3,Silicone,25,176
huami,Smartwatch,Amazfit Verge,Black,12999,12999,AMOLED Display,4.1,Silicone,25,489
huami,Smartwatch,Amazfit Verge,Black,11999,12999,AMOLED Display,4.1,Silicone,25,489
huami,Smartwatch,Amazfit Verge,Black,5999,8999,AMOLED Display,4.2,Silicone,14,489
huami,Smartwatch,Amazfit Bip,Red,4950,5990,AMOLED Display,4.2,Silicone,28,176
huami,Smartwatch,Amazfit Verge,Black,11999,12999,AMOLED Display,4.1,Silicone,7,176
huami,Smartwatch,Amazfit Bip,Purple,5499,6999,AMOLED Display,4.2,Silicone,28,176
huami,Smartwatch,Amazfit Stratos,Black,12999,15999,AMOLED Display,4.2,Silicone,25,103
huami,Smartwatch,Amazfit Bip Lite,Black,3499,5499,AMOLED Display,4,Thermoplastic polyurethane,7,125
huami,Smartwatch,Amazfit Verge Lite,Black,5999,8999,AMOLED Display,4.2,Silicone,5,136
huami,Smartwatch,Amazfit Bip,Grey,6399,7399,AMOLED Display,4.4,Silicone,28,176
huami,Smartwatch,Bip Lite On,Black,7999,14999,AMOLED Display,4.1,Silicone,7,183
SAMSUNG ,Smartwatch,Galaxy Active 2,"Black, Beige",11990,25990,AMOLED Display,4.5,Silicone,7,
